student_id,minutes_watched,certificates_issued
4640,586.80,1
5836,1903.12,3
9754,702.77,1
801,6066.00,13
2022,115.37,1
6278,2181.32,2
2731,508.50,2
2938,1444.78,1
182,2018.87,7
3239,2335.58,6
1754,516.18,9
3774,1798.07,2
3780,266.68,1
3183,147.55,5
999,502.13,2
7382,1019.08,1
5827,953.23,6
4739,3273.48,4
1046,2305.95,1
1852,806.20,1
2811,3192.95,2
2003,1028.78,3
3577,329.90,2
4595,869.15,1
1540,675.60,2
1200,329.40,2
1619,1490.73,6
10422,871.98,6
969,642.40,1
1521,776.92,3
6053,986.13,3
6,148.12,1
2737,680.57,1
4723,700.55,2
862,1145.65,1
5080,1892.32,2
2073,467.53,2
1221,227.30,1
2091,2655.62,1
841,1623.63,3
7086,1399.13,1
7540,518.17,1
6159,253.15,2
1567,1286.92,1
1652,1355.32,2
9372,316.70,1
911,917.42,2
8544,418.45,1
3338,1004.58,1
8641,109.55,1
3423,1082.13,1
268796,1844.53,9
267959,809.78,1
259283,564.65,1
270700,611.55,1
271154,2510.02,6
255169,367.25,3
226169,802.75,2
261189,405.08,2
275442,1505.03,4
275293,104.57,1
262112,1574.37,2
278753,636.97,1
180668,127.53,1
172792,429.65,1
272510,357.87,1
269541,1504.12,5
198179,570.30,2
274825,1147.78,1
263579,346.18,1
173105,342.10,3
261905,2220.75,4
265966,853.88,2
216394,2086.00,3
270671,419.37,2
260616,1253.08,5
274269,212.87,2
274904,430.45,2
265092,1480.15,6
148089,7.30,1
264916,779.43,4
259884,1119.37,2
274070,1262.57,2
181800,362.12,1
205950,902.73,1
213109,281.95,3
265789,251.82,1
254431,1426.67,6
274576,1203.13,5
257384,630.03,4
268357,1405.98,3
270240,694.68,2
272696,202.80,1
278055,222.32,1
264687,82.53,1
261590,864.22,4
261647,914.22,1
85568,0,18
268516,1269.25,1
147672,1214.30,6
47183,895.48,3
270075,2588.00,7
264425,835.77,2
270247,512.52,1
254310,1317.85,7
234155,225.53,1
267203,515.77,2
268556,908.65,3
269070,573.37,1
270179,536.13,2
162497,1267.38,6
175038,978.78,4
270599,2619.62,10
152896,687.78,1
271872,391.67,1
270460,936.02,1
274382,626.35,3
219561,602.88,2
275165,657.27,2
161380,2880.08,9
261510,170.35,2
266693,473.27,2
270911,138.30,1
260608,638.90,1
272918,347.35,1
275282,941.87,5
275799,324.60,1
263076,1315.42,6
260042,1700.32,8
204419,814.12,4
259429,507.32,4
269898,471.55,1
264514,763.43,1
265878,636.08,3
261883,426.72,1
172127,734.57,3
268863,517.40,2
160595,675.05,2
153741,917.05,1
275273,234.17,1
166734,370.38,1
275590,637.63,3
269670,218.13,1
268553,78.13,1
159336,501.23,2
122992,0,2
254858,257.50,1
272157,379.13,1
269518,1662.82,9
255220,1096.63,2
41336,1463.23,2
276232,301.60,1
274572,725.83,1
279738,158.07,1
253823,1089.60,4
261171,728.08,4
269744,907.43,1
250629,76.17,2
264295,2376.15,3
252339,2260.82,4
270367,341.50,1
235996,370.53,1
268926,2070.15,11
209256,605.73,2
276135,1138.93,3
263456,262.45,1
159186,1421.55,2
274087,190.00,1
255827,1054.35,6
176391,405.53,1
272463,364.70,1
272838,201.48,1
269220,237.98,1
165285,1583.35,8
158034,363.25,1
268990,1551.58,2
16668,535.67,1
274838,82.53,1
254868,97.12,1
252008,927.18,3
260833,118.33,1
261337,571.67,1
255449,138.53,1
266788,1288.00,5
253682,493.32,1
158129,119.02,1
276455,1248.85,4
265588,1465.75,4
277084,939.48,3
260861,194.03,1
269047,349.65,1
261777,2779.63,10
170493,1078.97,8
267010,1174.67,3
272255,713.95,2
74498,163.85,1
228262,445.60,2
256969,454.68,1
267765,428.73,2
272717,2416.55,4
254558,757.53,2
242454,841.87,6
272261,485.12,1
275275,324.93,1
208957,180.35,1
275552,302.38,1
159457,917.82,1
153235,423.28,1
267898,1379.63,6
266758,1064.42,2
269000,634.92,1
269066,1832.58,4
260465,1228.20,4
261682,1501.77,4
152109,1411.30,1
271300,829.83,1
273803,297.75,1
279766,132.80,1
266811,154.07,1
246267,3711.67,12
277508,991.05,4
274880,58.73,1
262406,570.57,3
157976,442.73,2
270957,1320.95,2
155640,798.45,2
270824,215.27,1
195307,324.32,1
158724,1431.57,5
165026,434.53,3
255668,733.63,4
267936,2542.98,1
248305,558.08,1
225789,442.57,2
266112,5311.62,5
257130,137.18,1
254860,289.70,1
251774,504.37,1
257151,916.03,1
258044,1095.57,1
156498,1126.25,1
161060,321.70,4
217601,349.78,2
271664,536.60,1
148372,225.20,3
187880,155.50,1
272199,728.87,1
194507,1316.05,6
271140,702.82,2
165374,246.98,1
185208,1019.33,1
261019,719.50,2
259494,113.58,1
270022,548.57,4
254953,749.80,2
262459,1077.42,1
207559,66.25,1
232131,595.08,2
273249,395.93,1
255296,589.55,1
274273,601.33,2
204116,714.25,1
190803,978.52,5
260998,1906.50,15
265101,424.83,3
44965,319.33,1
263368,387.03,1
151694,3491.48,1
53781,0.05,3
264623,220.98,1
276784,550.53,1
271185,1506.78,1
190610,312.83,1
149601,126.27,2
278927,383.85,2
238800,366.67,1
265928,1656.52,7
259106,334.55,1
241632,977.67,3
238987,570.57,4
268989,1480.08,4
268978,3002.23,4
195508,2823.77,12
269570,569.80,2
266766,1233.13,2
272842,6163.18,1
274861,1171.38,3
278758,225.93,1
267026,429.58,1
271338,492.02,1
252678,1582.23,5
256670,1528.85,6
276439,1518.10,6
30206,483.10,1
17419,702.63,2
274814,823.72,2
171827,284.02,1
171439,29.77,1
265967,1371.45,5
253574,1176.13,1
217558,0,1
258141,351.82,1
268805,1880.25,1
266477,69.85,2
267843,56.88,2
166145,533.25,1
272001,1298.62,2
145177,918.17,1
157277,1884.22,2
275470,1443.37,7
255275,723.55,3
275103,169.48,1
275008,173.43,1
277825,338.32,1
187237,0,1
259504,2051.80,6
179203,2255.92,3
142814,162.32,1
265686,132.82,1
270833,506.48,2
272909,4111.93,8
275788,385.58,3
268011,2544.77,7
176012,222.83,1
277285,992.13,1
144348,863.88,1
89102,0.10,2
254929,833.83,1
156407,1708.70,9
244886,556.72,3
270393,700.20,2
271519,1571.22,3
208948,0,7
265176,57.82,1
256448,2073.87,5
21229,138.12,1
260649,323.22,2
157198,2434.82,7
143561,2309.33,10
269872,701.03,4
147878,2938.07,7
255186,404.53,3
259767,1997.07,3
273654,333.50,1
270619,344.35,2
190825,631.10,2
143701,1023.33,1
278283,1054.88,2
268390,2009.38,13
15772,1110.18,4
268510,167.53,1
259174,281.50,1
267949,110.65,1
230140,608.90,2
147132,357.92,1
145013,697.02,1
19124,1868.85,2
156776,1558.35,3
256432,549.55,1
172619,1171.35,3
255271,222.08,1
261801,2338.62,11
263293,995.50,3
271800,2011.07,2
259483,75.43,1
146855,373.40,4
155427,1523.08,1
143709,1462.22,3
172793,876.17,3
265808,486.98,1
254931,239.85,1
170879,1262.87,7
29758,692.83,3
172289,388.40,1
276490,1165.85,1
147087,1221.50,1
264954,681.85,1
269540,374.35,1
34121,450.67,1
273371,168.53,2
258337,675.45,2
274050,3073.05,10
217155,1157.15,5
266012,1258.25,1
269646,1220.07,1
183978,2010.43,9
270135,249.33,1
20710,2222.05,8
272437,789.95,2
270738,1342.07,1
254601,386.55,3
161693,358.42,1
12279,200.98,1
266332,705.80,3
148628,402.03,1
267854,271.75,2
262599,296.07,1
156206,3087.27,4
156649,2343.28,6
199192,572.92,1
196809,765.37,5
266529,1179.80,4
156587,353.38,2
169624,0,21
272596,1042.13,2
190625,1031.02,1
274836,89.18,1
159873,1347.23,10
243847,528.17,1
227874,395.87,2
266041,168.17,1
156647,2355.20,2
267916,2326.67,10
261212,1409.43,5
260910,529.83,2
269492,588.65,1
254466,130.58,1
233988,289.40,1
272570,325.38,1
115019,638.15,2
277791,488.25,1
273992,356.48,2
277964,308.62,1
278881,490.33,2
148886,2067.28,1
171585,49.57,1
278882,174.78,1
257415,181.40,1
269843,513.47,1
181083,225.72,1
255058,731.73,2
161173,319.90,1
254972,173.57,1
274908,458.45,1
275021,210.47,3
247618,581.00,1
159370,6464.82,11
254759,336.60,1
270363,255.42,1
149787,163.82,1
238848,1924.93,7
172535,604.27,3
39563,599.22,5
216478,291.98,2
272569,187.83,1
275277,528.00,1
276265,280.65,1
275038,715.03,4
264472,195.53,1
160960,1116.02,4
254713,1835.53,8
263690,1030.07,4
265970,163.22,1
256954,284.45,2
271015,2044.02,2
261813,427.45,2
268408,240.90,1
238879,52.37,1
275129,1416.27,3
156510,234.02,1
259959,334.90,2
263480,228.20,2
240294,120.63,1
264476,1397.18,3
261466,1621.37,6
259011,621.98,3
260980,817.02,4
277864,288.53,1
271837,236.60,1
260572,426.80,2
156409,709.43,1
171738,772.27,4
179127,299.17,1
171313,1449.70,3
269519,521.85,2
150745,1286.85,2
145310,41.42,1
274039,1160.60,7
272882,327.03,1
159060,176.52,1
276395,146.78,1
277099,187.37,1
149042,489.53,1
156057,967.88,1
193509,31.03,1
261802,361.07,1
161844,703.60,1
264049,368.17,1
277557,1308.02,2
188507,225.77,1
274611,152.23,1
248036,354.75,2
264253,337.07,1
268129,593.00,3
254553,1148.97,2
233619,1523.60,6
184826,512.98,2
171339,535.28,1
156767,164.83,1
270633,692.10,2
277590,458.07,2
185848,994.32,3
269314,1675.65,4
17613,223.83,1
273060,974.52,1
274798,629.15,1
274906,1482.15,7
276887,449.72,1
145561,197.20,1
268154,310.57,1
213528,174.33,1
192420,451.13,3
234596,773.77,1
256703,1914.42,8
172218,154.38,1
15743,87.13,1
169966,469.45,1
260168,935.27,2
150949,5249.05,8
268825,1609.35,1
271543,951.15,2
227678,772.90,2
272543,172.00,1
272035,2081.60,1
274163,737.02,1
153103,1209.37,1
278177,200.88,1
261593,270.42,1
156183,812.98,1
156467,1557.32,6
212463,3434.42,4
248414,427.03,3
253827,968.85,2
197505,719.43,10
183819,229.77,1
274996,760.40,3
277410,146.98,1
12532,481.90,1
264146,1809.10,7
244031,369.02,1
253264,898.42,1
157285,277.12,1
259860,1595.12,5
235274,345.50,3
268866,441.78,2
256834,130.00,1
265519,470.38,2
266001,1749.95,3
260173,1378.07,3
275449,772.07,3
277398,536.78,1
275574,419.92,1
275286,269.18,1
270930,397.17,1
279468,160.08,1
261785,1445.70,3
179118,118.13,1
269934,879.12,4
271035,1532.88,3
271991,1079.05,3
156276,597.68,2
176090,2779.98,6
254098,30.75,1
272965,2342.55,8
254378,274.42,1
153765,1021.63,3
272865,846.07,2
150090,1499.27,2
270042,1368.35,1
262569,395.40,1
262585,1220.98,2
271348,890.82,3
264404,518.60,1
176531,656.23,5
275020,1193.27,6
262641,542.63,1
229699,388.65,3
149652,1176.87,5
16979,535.68,3
185851,2785.42,6
171900,3448.22,6
254914,1020.10,4
274209,1029.22,1
277066,833.42,2
161210,805.45,5
265653,181.82,1
264761,127.97,1
200231,906.87,1
30872,1001.97,1
196681,543.08,1
146149,938.25,3
263706,148.88,1
269054,778.33,2
263494,798.05,1
157698,778.37,2
275132,574.78,3
147687,3761.35,1
159548,569.87,3
219488,1399.17,5
268331,2237.55,1
267064,1787.35,6
266614,819.33,4
59568,176.57,1
144397,1242.37,13
235735,534.15,1
261756,1424.67,6
14700,1657.05,35
272504,335.05,1
255187,53.33,1
215160,388.98,2
260754,1256.03,5
268962,569.23,1
265003,1115.90,3
149195,2299.22,2
255282,657.80,2
274630,178.63,1
182880,492.43,1
274929,815.87,2
267885,443.63,1
274162,847.95,1
269020,125.78,1
182808,365.07,1
190394,89.30,1
268714,561.08,3
154092,1563.80,4
258636,687.77,3
260345,1387.15,3
161537,91.05,1
273423,5334.78,18
274564,1862.78,4
161496,688.05,1
273841,1047.52,1
278509,662.55,1
11353,1095.90,2
147956,2288.98,13
269671,465.35,2
265005,525.83,1
265130,118.85,1
181620,1199.13,1
225955,363.37,1
236361,456.70,1
236797,628.10,1
262412,687.73,2
236628,856.90,2
21615,0,1
225394,341.80,1
261819,37.43,1
261393,412.78,1
268764,1941.10,6
265250,1213.63,3
149323,172.97,1
268800,753.90,3
254813,601.65,2
257112,265.60,2
154291,371.37,1
276783,698.83,3
278326,271.53,1
278582,396.08,2
